year,volume,snippet_pdf,extract_start_page,extract_end_page,source_page_start,source_page_end,page_count,baseline_hotspot
2023-24,expvol_1,DATA/All_States/KA_2023-24/2023-24_expvol_1.pdf,12,218,12,218,207,full
2023-24,expvol_2,DATA/All_States/KA_2023-24/2023-24_expvol_2.pdf,10,166,10,166,157,full
2023-24,expvol_3,DATA/All_States/KA_2023-24/2023-24_expvol_3.pdf,10,125,10,125,116,full
2023-24,expvol_4,DATA/All_States/KA_2023-24/2023-24_expvol_4.pdf,10,138,10,138,129,full
2023-24,expvol_5,DATA/All_States/KA_2023-24/2023-24_expvol_5.pdf,10,188,10,188,179,full
2023-24,expvol_6,DATA/All_States/KA_2023-24/2023-24_expvol_6.pdf,10,68,10,68,59,full
2023-24,expvol_7,DATA/All_States/KA_2023-24/2023-24_expvol_7.pdf,8,80,8,80,73,full
2024-25,expvol_1,DATA/All_States/KA_2024-25/2024-25_expvol_1.pdf,12,219,12,219,208,full
2024-25,expvol_2,DATA/All_States/KA_2024-25/2024-25_expvol_2.pdf,10,161,10,161,152,full
2024-25,expvol_3,DATA/All_States/KA_2024-25/2024-25_expvol_3.pdf,10,117,10,117,108,full
2024-25,expvol_4,DATA/All_States/KA_2024-25/2024-25_expvol_4.pdf,10,136,10,136,127,full
2024-25,expvol_5,DATA/All_States/KA_2024-25/2024-25_expvol_5.pdf,10,184,10,184,175,full
2024-25,expvol_6,DATA/All_States/KA_2024-25/2024-25_expvol_6.pdf,10,62,10,62,53,full
2024-25,expvol_7,DATA/All_States/KA_2024-25/2024-25_expvol_7.pdf,8,76,8,76,69,full
2025-26,expvol_1,DATA/All_States/KA_2025-26/2025-26_expvol_1.pdf,14,243,14,243,230,full
2025-26,expvol_2,DATA/All_States/KA_2025-26/2025-26_expvol_2.pdf,12,152,12,152,141,full
2025-26,expvol_3,DATA/All_States/KA_2025-26/2025-26_expvol_3.pdf,12,120,12,120,109,full
2025-26,expvol_4,DATA/All_States/KA_2025-26/2025-26_expvol_4.pdf,10,138,10,138,129,full
2025-26,expvol_5,DATA/All_States/KA_2025-26/2025-26_expvol_5.pdf,12,181,12,181,170,full
2025-26,expvol_6,DATA/All_States/KA_2025-26/2025-26_expvol_6.pdf,12,63,12,63,52,full
2025-26,expvol_7,DATA/All_States/KA_2025-26/2025-26_expvol_7.pdf,10,67,10,67,58,full
2026-27,expvol_1,DATA/All_States/KA_2026-27/2026-27_expvol_1.pdf,14,237,14,237,224,full
2026-27,expvol_2,DATA/All_States/KA_2026-27/2026-27_expvol_2.pdf,12,163,12,163,152,full
2026-27,expvol_3,DATA/All_States/KA_2026-27/2026-27_expvol_3.pdf,12,129,12,129,118,full
2026-27,expvol_4,DATA/All_States/KA_2026-27/2026-27_expvol_4.pdf,10,142,10,142,133,full
2026-27,expvol_5,DATA/All_States/KA_2026-27/2026-27_expvol_5.pdf,12,194,12,194,183,full
2026-27,expvol_6,DATA/All_States/KA_2026-27/2026-27_expvol_6.pdf,12,66,12,66,55,full
2026-27,expvol_7,DATA/All_States/KA_2026-27/2026-27_expvol_7.pdf,10,69,10,69,60,full
