Source_Page_Number|Volume_Number|Demand_Number|Major_Head_Code|Major_Head_Name|Sub_Major_Head_Code|Sub_Major_Head_Name|Minor_Head_Code|Minor_Head_Name|Sub_Head_Code|Sub_Head_Name|Detailed_Head_Code|Detailed_Head_Name|Object_Head_Code|Object_Head_Description|Full_Account_Code|Description|Vote_Charge_Marker|Row_Type|Row_Level|Financial_Col_1|Financial_Col_2|Financial_Col_3|Financial_Col_4
182|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|5|Interest on Market Loans|18|2021-22 - 7.13% KSDL 2039 (DOM : 23-02-2039)|241|Interest Payments|2049-01-101-5-18|Interest Payments|C|Data|Object-Head||14260.00|14260.00|14260.00
182|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|5|Interest on Market Loans|18|2021-22 - 7.13% KSDL 2039 (DOM : 23-02-2039)|||2049-01-101-5-18|HOA Total :|C|Total|Detailed-Head|14260.00|14260.00|14260.00|14260.00
182|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|5|Interest on Market Loans|20|2022-23 - 7.68% KGS 2031 (DOM 16-11-2031)|||2049-01-101-5-20|2022-23 - 7.68% KGS 2031 (DOM 16-11-2031)|C|Header|Detailed-Head||||
182|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|5|Interest on Market Loans|20|2022-23 - 7.68% KGS 2031 (DOM 16-11-2031)|240|Repayment of Borrowings|2049-01-101-5-20|Repayment of Borrowings|C|Data|Object-Head|15360.00|||
182|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|5|Interest on Market Loans|20|2022-23 - 7.68% KGS 2031 (DOM 16-11-2031)|241|Interest Payments|2049-01-101-5-20|Interest Payments|C|Data|Object-Head||15360.00|15360.00|15360.00
182|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|5|Interest on Market Loans|20|2022-23 - 7.68% KGS 2031 (DOM 16-11-2031)|||2049-01-101-5-20|HOA Total :|C|Total|Detailed-Head|15360.00|15360.00|15360.00|15360.00
182|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|5|Interest on Market Loans|21|2022-23 - 7.67% KGS 2032 (DOM 16-11-2032)|||2049-01-101-5-21|2022-23 - 7.67% KGS 2032 (DOM 16-11-2032)|C|Header|Detailed-Head||||
182|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|5|Interest on Market Loans|21|2022-23 - 7.67% KGS 2032 (DOM 16-11-2032)|240|Repayment of Borrowings|2049-01-101-5-21|Repayment of Borrowings|C|Data|Object-Head|15340.00|||
182|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|5|Interest on Market Loans|21|2022-23 - 7.67% KGS 2032 (DOM 16-11-2032)|241|Interest Payments|2049-01-101-5-21|Interest Payments|C|Data|Object-Head||15340.00|15340.00|15340.00
182|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|5|Interest on Market Loans|21|2022-23 - 7.67% KGS 2032 (DOM 16-11-2032)|||2049-01-101-5-21|HOA Total :|C|Total|Detailed-Head|15340.00|15340.00|15340.00|15340.00
