54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|02|District Training Institutes|||2070-00-003-3-02|District Training Institutes|V|Header|Detailed-Head||||
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|02|District Training Institutes|002|Basic Pay|2070-00-003-3-02|Basic Pay|V|Data|Object-Head|373.34|1091.00|1091.00|1111.00
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|02|District Training Institutes|003|Basic Pay-Staff|2070-00-003-3-02|Basic Pay-Staff|V|Data|Object-Head|547.38||||
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|02|District Training Institutes|004|Interim Relief|2070-00-003-3-02|Interim Relief|V|Data|Object-Head|55.96||||
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|02|District Training Institutes|011|Dearness Allowance|2070-00-003-3-02|Dearness Allowance|V|Data|Object-Head|206.80|240.00|240.00|278.00
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|02|District Training Institutes|014|Other Allowance|2070-00-003-3-02|Other Allowance|V|Data|Object-Head|151.51|175.00|175.00|172.00
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|02|District Training Institutes|015|Subsidiary Expenses|2070-00-003-3-02|Subsidiary Expenses|V|Data|Object-Head|30.17|50.00|50.00|80.00
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|02|District Training Institutes|020|Medical Allowance|2070-00-003-3-02|Medical Allowance|V|Data|Object-Head|4.06||||
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|02|District Training Institutes|021|Reimbursement of Medical Expenses|2070-00-003-3-02|Reimbursement of Medical Expenses|V|Data|Object-Head|2.00|15.00|15.00|15.00
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|02|District Training Institutes|034|Contract/Outsource|2070-00-003-3-02|Contract/Outsource|V|Data|Object-Head|35.00|108.41|108.41|110.20
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|02|District Training Institutes|037|Payment on Service Contract|2070-00-003-3-02|Payment on Service Contract|V|Data|Object-Head||5.00|5.00|6.00
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|02|District Training Institutes|041|Travel Expenses|2070-00-003-3-02|Travel Expenses|V|Data|Object-Head|5.81|2.00|2.00|2.00
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|02|District Training Institutes|050|Office Expenses|2070-00-003-3-02|Office Expenses|V|Data|Object-Head|10.10|13.00|13.00|10.00
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|02|District Training Institutes|051|General Expenses|2070-00-003-3-02|General Expenses|V|Data|Object-Head|23.46|7.00|7.00|10.20
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|02|District Training Institutes|052|Telephone Charges|2070-00-003-3-02|Telephone Charges|V|Data|Object-Head|2.88||||
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|02|District Training Institutes|053|Purchase of Furniture and Fixture for Office|2070-00-003-3-02|Purchase of Furniture and Fixture for Office|V|Data|Object-Head|1.50||||
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|02|District Training Institutes|071|Building Expenses|2070-00-003-3-02|Building Expenses|V|Data|Object-Head|56.27|50.00|50.00|70.00
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|02|District Training Institutes|180|Machinery and Equipments|2070-00-003-3-02|Machinery and Equipments|V|Data|Object-Head|0.77||||
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|02|District Training Institutes|195|Transport Expenses|2070-00-003-3-02|Transport Expenses|V|Data|Object-Head|0.03|2.00|2.00|2.00
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|02|District Training Institutes|200|Maintenance Expenditure|2070-00-003-3-02|Maintenance Expenditure|V|Data|Object-Head|49.72|40.00|40.00|30.00
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|02|District Training Institutes|221|Materials and Supplies|2070-00-003-3-02|Materials and Supplies|V|Data|Object-Head||2.00|2.00|2.00
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|02|District Training Institutes|||||HOA Total :|V|Total|Detailed-Head|1556.76|1800.41|1800.41|1898.40
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|03|Secretariat Training Institute|||2070-00-003-3-03|Secretariat Training Institute|V|Header|Detailed-Head||||
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|03|Secretariat Training Institute|002|Basic Pay|2070-00-003-3-03|Basic Pay|V|Data|Object-Head|35.32|71.00|71.00|73.00
54|01|04|2070|Other Administrative Services|00||003|Training|3|Administrative Training Institute, Mysore|03|Secretariat Training Institute|003|Basic Pay-Staff|2070-00-003-3-03|Basic Pay-Staff|V|Data|Object-Head|20.32||||
