10|02|12|3452|Tourism|80|||||||||3452|Tourism|V|Header|Major-Head||||
10|02|12|3452|Tourism|80||001||0||03|Amount as per the SCSP-TSPAct 2013|||3452-80-001-0-03|Amount as per the SCSP-TSPAct 2013|V|Header|Detailed-Head||||
10|02|12|3452|Tourism|80||001||0||03|Amount as per the SCSP-TSPAct 2013|422|Schedule Caste Sub Plan|3452-80-001-0-03|Schedule Caste Sub Plan|V|Data|Object-Head||||0.24
10|02|12|3452|Tourism|80||001||0||03|Amount as per the SCSP-TSPAct 2013|||3452-80-001-0-03|HOA Total :|V|Total|Detailed-Head|0.00|0.00|0.00|0.24
10|02|12|3452|Tourism|80||001||0||50|Vacant Post Provision|||3452-80-001-0-50|Vacant Post Provision|V|Header|Detailed-Head||||
10|02|12|3452|Tourism|80||001||0||50|Vacant Post Provision|014|Other Allowance|3452-80-001-0-50|Other Allowance|V|Data|Object-Head||921.50|910.32|1130.50
10|02|12|3452|Tourism|80||001||0||50|Vacant Post Provision|||3452-80-001-0-50|HOA Total :|V|Total|Detailed-Head|0.00|921.50|910.32|1130.50
10|02|12|3452|Tourism|80||104||0||01|Tourism Promotion and Publicity|||3452-80-104-0-01|Tourism Promotion and Publicity|V|Header|Detailed-Head||||
10|02|12|3452|Tourism|80||104||0||01|Tourism Promotion and Publicity|059|Other Expenses|3452-80-104-0-01|Other Expenses|V|Data|Object-Head|3228.32|1928.36|1928.36|1928.36
10|02|12|3452|Tourism|80||104||0||01|Tourism Promotion and Publicity|251|Pension & Retirement Benefits|3452-80-104-0-01|Pension & Retirement Benefits|V|Data|Object-Head|4.10|7.08|7.08|16.47
10|02|12|3452|Tourism|80||104||0||01|Tourism Promotion and Publicity|422|Schedule Caste Sub Plan|3452-80-104-0-01|Schedule Caste Sub Plan|V|Data|Object-Head|1842.61|1842.97|1842.97|1842.97
10|02|12|3452|Tourism|80||104||0||01|Tourism Promotion and Publicity|423|Tribal Sub Plan|3452-80-104-0-01|Tribal Sub Plan|V|Data|Object-Head|1228.67|1228.67|1228.67|1228.67
10|02|12|3452|Tourism|80||104||0||01|Tourism Promotion and Publicity|||3452-80-104-0-01|HOA Total :|V|Total|Detailed-Head|6303.70|5007.08|5007.08|5016.47
10|02|12|3452|Tourism|80||104||0||04|Tourism Policy Incentives and Concessions|||3452-80-104-0-04|Tourism Policy Incentives and Concessions|V|Header|Detailed-Head||||
10|02|12|3452|Tourism|80||104||0||04|Tourism Policy Incentives and Concessions|015|Subsidiary Expenses|3452-80-104-0-04|Subsidiary Expenses|V|Data|Object-Head||||100.00
10|02|12|3452|Tourism|80||104||0||04|Tourism Policy Incentives and Concessions|106|Subsidies|3452-80-104-0-04|Subsidies|V|Data|Object-Head|1999.99|2000.00|2000.00|2000.00
10|02|12|3452|Tourism|80||104||0||04|Tourism Policy Incentives and Concessions|||3452-80-104-0-04|HOA Total :|V|Total|Detailed-Head|1999.99|2000.00|2000.00|2100.00
10|02|12|3452|Tourism|80|||||||||3452|3452 - Total :|V|Total|Major-Head|11036.53|11459.20|11459.20|11982.45
