69|02|17|2202|General Education|02|Secondary Education|911|Deduct Recoveries of Over Payments|||||||2202-02-911-0-00|Deduct Recoveries of Over Payments|V|Header|Minor-Head||||
69|02|17|2202|General Education|02|Secondary Education|911|Deduct Recoveries of Over Payments|0||00|Deduct Recoveries of Over Payments||||2202-02-911-0-00|Deduct Recoveries of Over Payments|V|Header|Detailed-Head||||
69|02|17|2202|General Education|02|Secondary Education|911|Deduct Recoveries of Over Payments|0||00|Deduct Recoveries of Over Payments|364|Deduct - Recoveries|2202-02-911-0-00|Deduct - Recoveries|V|Data|Object-Head|-1.92||||
69|02|17|2202|General Education|02|Secondary Education|911|Deduct Recoveries of Over Payments|0||00|Deduct Recoveries of Over Payments||||2202-02-911-0-00|HOA Total :|V|Total|Detailed-Head|-1.92|0.00|0.00|0.00
69|02|17|2202|General Education|02|Secondary Education|911|Deduct Recoveries of Over Payments|0||03|SAKALA-Recovery of Compensatory Cost under the Karnataka Guarantee of Services Act||||2202-02-911-0-03|SAKALA-Recovery of Compensatory Cost under the Karnataka Guarantee of Services Act|V|Header|Detailed-Head||||
69|02|17|2202|General Education|02|Secondary Education|911|Deduct Recoveries of Over Payments|0||03|SAKALA-Recovery of Compensatory Cost under the Karnataka Guarantee of Services Act|364|Deduct - Recoveries|2202-02-911-0-03|Deduct - Recoveries|V|Data|Object-Head|-6.12||||
69|02|17|2202|General Education|02|Secondary Education|911|Deduct Recoveries of Over Payments|0||03|SAKALA-Recovery of Compensatory Cost under the Karnataka Guarantee of Services Act||||2202-02-911-0-03|HOA Total :|V|Total|Detailed-Head|-6.12|0.00|0.00|0.00
69|02|17|2202|General Education|02|Secondary Education|911|Deduct Recoveries of Over Payments|0||04|Deduct Recovery of Over Payment of Previous years-ZP||||2202-02-911-0-04|Deduct Recovery of Over Payment of Previous years-ZP|V|Header|Detailed-Head||||
69|02|17|2202|General Education|02|Secondary Education|911|Deduct Recoveries of Over Payments|0||04|Deduct Recovery of Over Payment of Previous years-ZP|261|Inter Account Transfers|2202-02-911-0-04|Inter Account Transfers|V|Data|Object-Head|-36161.00|-52258.31|-52258.31|-13385.14
69|02|17|2202|General Education|02|Secondary Education|911|Deduct Recoveries of Over Payments|0||04|Deduct Recovery of Over Payment of Previous years-ZP|364|Deduct - Recoveries|2202-02-911-0-04|Deduct - Recoveries|V|Data|Object-Head|-3.95||||
69|02|17|2202|General Education|02|Secondary Education|911|Deduct Recoveries of Over Payments|0||04|Deduct Recovery of Over Payment of Previous years-ZP||||2202-02-911-0-04|HOA Total :|V|Total|Detailed-Head|-36164.95|-52258.31|-52258.31|-13385.14
69|02|17|2202|General Education|02|Secondary Education|911|Deduct Recoveries of Over Payments|0||05|Deduct Recovery of Over Payment of Previous Years-TP||||2202-02-911-0-05|Deduct Recovery of Over Payment of Previous Years-TP|V|Header|Detailed-Head||||
69|02|17|2202|General Education|02|Secondary Education|911|Deduct Recoveries of Over Payments|0||05|Deduct Recovery of Over Payment of Previous Years-TP|261|Inter Account Transfers|2202-02-911-0-05|Inter Account Transfers|V|Data|Object-Head||-103979.78|-103979.78|-191656.13
69|02|17|2202|General Education|02|Secondary Education|911|Deduct Recoveries of Over Payments|0||05|Deduct Recovery of Over Payment of Previous Years-TP||||2202-02-911-0-05|HOA Total :|V|Total|Detailed-Head|0.00|-103979.78|-103979.78|-191656.13
69|04|17|2202|General Education|04|Adult Education|||||||||2202-04-001-0-01|Adult Education|V|Header|Sub-Major-Head||||
69|04|17|2202|General Education|04|Adult Education|001|Direction and Administration|||||||2202-04-001-0-01|Direction and Administration|V|Header|Minor-Head||||
69|04|17|2202|General Education|04|Adult Education|001|Direction and Administration|0||01|Mass Education-Preparatory Activities for Launching State Adult Education Programme-Strengthening of Administrative Structure at State Level||||2202-04-001-0-01|Mass Education-Preparatory Activities for Launching State Adult Education Programme-Strengthening of Administrative Structure at State Level|V|Header|Detailed-Head||||
69|04|17|2202|General Education|04|Adult Education|001|Direction and Administration|0||01|Mass Education-Preparatory Activities for Launching State Adult Education Programme-Strengthening of Administrative Structure at State Level|002|Basic Pay|2202-04-001-0-01|Basic Pay|V|Data|Object-Head|90.56|169.00|169.00|196.00
69|04|17|2202|General Education|04|Adult Education|001|Direction and Administration|0||01|Mass Education-Preparatory Activities for Launching State Adult Education Programme-Strengthening of Administrative Structure at State Level|003|Basic Pay-Staff|2202-04-001-0-01|Basic Pay-Staff|V|Data|Object-Head|44.89||||
69|04|17|2202|General Education|04|Adult Education|001|Direction and Administration|0||01|Mass Education-Preparatory Activities for Launching State Adult Education Programme-Strengthening of Administrative Structure at State Level|004|Interim Relief|2202-04-001-0-01|Interim Relief|V|Data|Object-Head|11.23||||
69|04|17|2202|General Education|04|Adult Education|001|Direction and Administration|0||01|Mass Education-Preparatory Activities for Launching State Adult Education Programme-Strengthening of Administrative Structure at State Level|011|Dearness Allowance|2202-04-001-0-01|Dearness Allowance|V|Data|Object-Head|36.64|38.00|38.00|49.00
