25|03|01|2415|Agricultural Research and Education|01||||||||||2415|Agricultural Research and Education||Header|Major-Head||||
25|03|01|2415|Agricultural Research and Education|01||277||0||23|University of Agricultural Sciences, Mandya|||2415-01-277-0-23|University of Agricultural Sciences, Mandya||Header|Detailed-Head||||
25|03|01|2415|Agricultural Research and Education|01||277||0||23|University of Agricultural Sciences, Mandya|101|Grants-in-Aid-Salaries|2415-01-277-0-23|Grants-in-Aid-Salaries||Data|Object-Head||||1566.94
25|03|01|2415|Agricultural Research and Education|01||277||0||23|University of Agricultural Sciences, Mandya|103|Grants-in-Aid -General|2415-01-277-0-23|Grants-in-Aid -General||Data|Object-Head||||181.81
25|03|01|2415|Agricultural Research and Education|01||277||0||23|University of Agricultural Sciences, Mandya|115|GIA Contract /Outsource|2415-01-277-0-23|GIA Contract /Outsource||Data|Object-Head||||149.61
25|03|01|2415|Agricultural Research and Education|01||277||0||23|University of Agricultural Sciences, Mandya|118|Grants-in-Aid-Pensions|2415-01-277-0-23|Grants-in-Aid-Pensions||Data|Object-Head||||709.87
25|03|01|2415|Agricultural Research and Education|01||277||0||23|University of Agricultural Sciences, Mandya|||||2415-01-277-0-23|HOA Total :||Total|Detailed-Head|0.00|0.00|0.00|2608.23
25|03|01|2415|Agricultural Research and Education|80||004||1||01|UAS Bangalore- Research and Education|||2415-80-004-1-01|UAS Bangalore- Research and Education||Header|Detailed-Head||||
25|03|01|2415|Agricultural Research and Education|80||004||1||01|UAS Bangalore- Research and Education|101|Grants-in-Aid-Salaries|2415-80-004-1-01|Grants-in-Aid-Salaries||Data|Object-Head|11553.87|12826.50|12826.50|12341.27
25|03|01|2415|Agricultural Research and Education|80||004||1||01|UAS Bangalore- Research and Education|103|Grants-in-Aid -General|2415-80-004-1-01|Grants-in-Aid -General||Data|Object-Head|917.60|670.00|670.00|578.76
25|03|01|2415|Agricultural Research and Education|80||004||1||01|UAS Bangalore- Research and Education|115|GIA Contract /Outsource|2415-80-004-1-01|GIA Contract /Outsource||Data|Object-Head|1589.95|1680.43|1680.43|1214.62
25|03|01|2415|Agricultural Research and Education|80||004||1||01|UAS Bangalore- Research and Education|118|Grants-in-Aid-Pensions|2415-80-004-1-01|Grants-in-Aid-Pensions||Data|Object-Head|12000.00|12000.00|12000.00|17229.73
25|03|01|2415|Agricultural Research and Education|80||004||1||01|UAS Bangalore- Research and Education|422|Schedule Caste Sub Plan|2415-80-004-1-01|Schedule Caste Sub Plan||Data|Object-Head|176.40||176.00|
25|03|01|2415|Agricultural Research and Education|80||004||1||01|UAS Bangalore- Research and Education|423|Tribal Sub Plan|2415-80-004-1-01|Tribal Sub Plan||Data|Object-Head|76.00||76.00|
25|03|01|2415|Agricultural Research and Education|80||004||1||01|UAS Bangalore- Research and Education|||||2415-80-004-1-01|HOA Total :||Total|Detailed-Head|26313.82|27176.93|27428.93|31364.38
25|03|01|2415|Agricultural Research and Education|80||004||2||01|UAS Dharwad Research and Education|||2415-80-004-2-01|UAS Dharwad Research and Education||Header|Detailed-Head||||
25|03|01|2415|Agricultural Research and Education|80||004||2||01|UAS Dharwad Research and Education|101|Grants-in-Aid-Salaries|2415-80-004-2-01|Grants-in-Aid-Salaries||Data|Object-Head|11764.86|12233.18|12233.18|11438.88
25|03|01|2415|Agricultural Research and Education|80||004||2||01|UAS Dharwad Research and Education|103|Grants-in-Aid -General|2415-80-004-2-01|Grants-in-Aid -General||Data|Object-Head|799.69|580.72|580.72|657.08
25|03|01|2415|Agricultural Research and Education|80||004||2||01|UAS Dharwad Research and Education|115|GIA Contract /Outsource|2415-80-004-2-01|GIA Contract /Outsource||Data|Object-Head|932.62|1145.45|1145.45|1084.90
25|03|01|2415|Agricultural Research and Education|80||004||2||01|UAS Dharwad Research and Education|118|Grants-in-Aid-Pensions|2415-80-004-2-01|Grants-in-Aid-Pensions||Data|Object-Head|9140.35|9000.00|9000.00|13038.41
25|03|01|2415|Agricultural Research and Education|80||004||2||01|UAS Dharwad Research and Education|422|Schedule Caste Sub Plan|2415-80-004-2-01|Schedule Caste Sub Plan||Data|Object-Head|176.40||176.00|
