37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||||||||5054|Capital Outlay on Roads & Bridges||Header|Major-Head||||
37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||0||71|CSS-Central Share-Prime Minister Grameena Sadak Yojana|||5054-03-337-0-71|CSS-Central Share-Prime Minister Grameena Sadak Yojana||Header|Detailed-Head||||
37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||0||71|CSS-Central Share-Prime Minister Grameena Sadak Yojana|172|Roads|5054-03-337-0-71|Roads||Data|Object-Head|3819.40|7131.57|7131.57|8084.87
37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||0||71|CSS-Central Share-Prime Minister Grameena Sadak Yojana|422|Schedule Caste Sub Plan|5054-03-337-0-71|Schedule Caste Sub Plan||Data|Object-Head|840.14|1611.41|1611.41|1826.82
37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||0||71|CSS-Central Share-Prime Minister Grameena Sadak Yojana|423|Tribal Sub Plan|5054-03-337-0-71|Tribal Sub Plan||Data|Object-Head|340.46|653.02|653.02|740.31
37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||0||71|CSS-Central Share-Prime Minister Grameena Sadak Yojana||||HOA Total :||Total|Detailed-Head|5000.00|9396.00|9396.00|10652.00
37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||0||75|Rural Roads|||5054-03-337-0-75|Rural Roads||Header|Detailed-Head||||
37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||0||75|Rural Roads|059|Other Expenses|5054-03-337-0-75|Other Expenses||Data|Object-Head|97793.15|||
37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||0||75|Rural Roads|172|Roads|5054-03-337-0-75|Roads||Data|Object-Head|49613.85|75900.00|75900.00|75900.00
37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||0||75|Rural Roads|422|Schedule Caste Sub Plan|5054-03-337-0-75|Schedule Caste Sub Plan||Data|Object-Head|11633.47|17150.00|17150.00|17150.00
37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||0||75|Rural Roads|423|Tribal Sub Plan|5054-03-337-0-75|Tribal Sub Plan||Data|Object-Head|4847.31|6950.00|6950.00|6950.00
37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||0||75|Rural Roads||||HOA Total :||Total|Detailed-Head|163887.78|100000.00|100000.00|100000.00
37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||0||76|CSS-State Share-Prime Minister Grameena Sadak Yojana|||5054-03-337-0-76|CSS-State Share-Prime Minister Grameena Sadak Yojana||Header|Detailed-Head||||
37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||0||76|CSS-State Share-Prime Minister Grameena Sadak Yojana|172|Roads|5054-03-337-0-76|Roads||Data|Object-Head|2664.04|4754.39|4754.39|8801.37
37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||0||76|CSS-State Share-Prime Minister Grameena Sadak Yojana|422|Schedule Caste Sub Plan|5054-03-337-0-76|Schedule Caste Sub Plan||Data|Object-Head|586.70|1074.27|1074.27|1988.71
37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||0||76|CSS-State Share-Prime Minister Grameena Sadak Yojana|423|Tribal Sub Plan|5054-03-337-0-76|Tribal Sub Plan||Data|Object-Head|237.76|435.34|435.34|805.92
37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||0||76|CSS-State Share-Prime Minister Grameena Sadak Yojana||||HOA Total :||Total|Detailed-Head|3488.50|6264.00|6264.00|11596.00
37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||0||77|CSS-Central Share-PM-JANMAN(Rural Roads)|||5054-03-337-0-77|CSS-Central Share-PM-JANMAN(Rural Roads)||Header|Detailed-Head||||
37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||0||77|CSS-Central Share-PM-JANMAN(Rural Roads)|423|Tribal Sub Plan|5054-03-337-0-77|Tribal Sub Plan||Data|Object-Head|1358.32|1358.00|1358.00|1900.00
37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||0||77|CSS-Central Share-PM-JANMAN(Rural Roads)||||HOA Total :||Total|Detailed-Head|1358.32|1358.00|1358.00|1900.00
37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||0||78|CSS-State Share-PM-JANMAN(Rural Roads)|||5054-03-337-0-78|CSS-State Share-PM-JANMAN(Rural Roads)||Header|Detailed-Head||||
37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||0||78|CSS-State Share-PM-JANMAN(Rural Roads)|423|Tribal Sub Plan|5054-03-337-0-78|Tribal Sub Plan||Data|Object-Head|1159.64|1158.00|1158.00|1300.00
37|04|07|5054|Capital Outlay on Roads & Bridges|03||337||0||78|CSS-State Share-PM-JANMAN(Rural Roads)||||HOA Total :||Total|Detailed-Head|1159.64|1158.00|1158.00|1300.00
