128|04|19|2217|Urban Development|04|Slum Area Improvement|||||||||2217|Urban Development|V|Header|Major-Head||||
128|04|19|2217|Urban Development|04|Slum Area Improvement|191|Assistance to Local Bodies, Corporations, Urban Development Authorities, Town Improvement Boards etc|2|Improvement of Slums|01|Establishment Charges for KSDB|||2217-04-191-2-01|Establishment Charges for KSDB|V|Header|Detailed-Head||||
128|04|19|2217|Urban Development|04|Slum Area Improvement|191|Assistance to Local Bodies, Corporations, Urban Development Authorities, Town Improvement Boards etc|2|Improvement of Slums|01|Establishment Charges for KSDB|101|Grants-in-Aid-Salaries|2217-04-191-2-01|Grants-in-Aid-Salaries|V|Data|Object-Head|1512.94|1537.92|1537.92|1318.21
128|04|19|2217|Urban Development|04|Slum Area Improvement|191|Assistance to Local Bodies, Corporations, Urban Development Authorities, Town Improvement Boards etc|2|Improvement of Slums|01|Establishment Charges for KSDB|103|Grants-in-Aid -General|2217-04-191-2-01|Grants-in-Aid -General|V|Data|Object-Head|300.00|300.00|300.00|310.00
128|04|19|2217|Urban Development|04|Slum Area Improvement|191|Assistance to Local Bodies, Corporations, Urban Development Authorities, Town Improvement Boards etc|2|Improvement of Slums|01|Establishment Charges for KSDB|115|GIA Contract /Outsource|2217-04-191-2-01|GIA Contract /Outsource|V|Data|Object-Head|193.23|222.60|222.60|241.23
128|04|19|2217|Urban Development|04|Slum Area Improvement|191|Assistance to Local Bodies, Corporations, Urban Development Authorities, Town Improvement Boards etc|2|Improvement of Slums|01|Establishment Charges for KSDB|118|Grants-in-Aid-Pensions|2217-04-191-2-01|Grants-in-Aid-Pensions|V|Data|Object-Head|1446.73|1495.16|1495.16|1783.52
128|04|19|2217|Urban Development|04|Slum Area Improvement|191|Assistance to Local Bodies, Corporations, Urban Development Authorities, Town Improvement Boards etc|2|Improvement of Slums|01|Establishment Charges for KSDB|||2217-04-191-2-01|HOA Total :|V|Total|Detailed-Head|3452.90|3555.68|3555.68|3652.96
128|04|19|2217|Urban Development|04|Slum Area Improvement|191|Assistance to Local Bodies, Corporations, Urban Development Authorities, Town Improvement Boards etc|2|Improvement of Slums|02|Improvement of Slums|||2217-04-191-2-02|Improvement of Slums|V|Header|Detailed-Head||||
128|04|19|2217|Urban Development|04|Slum Area Improvement|191|Assistance to Local Bodies, Corporations, Urban Development Authorities, Town Improvement Boards etc|2|Improvement of Slums|02|Improvement of Slums|059|Other Expenses|2217-04-191-2-02|Other Expenses|V|Data|Object-Head|2250.00||||
128|04|19|2217|Urban Development|04|Slum Area Improvement|191|Assistance to Local Bodies, Corporations, Urban Development Authorities, Town Improvement Boards etc|2|Improvement of Slums|02|Improvement of Slums|422|Schedule Caste Sub Plan|2217-04-191-2-02|Schedule Caste Sub Plan|V|Data|Object-Head|600.00||||
128|04|19|2217|Urban Development|04|Slum Area Improvement|191|Assistance to Local Bodies, Corporations, Urban Development Authorities, Town Improvement Boards etc|2|Improvement of Slums|02|Improvement of Slums|423|Tribal Sub Plan|2217-04-191-2-02|Tribal Sub Plan|V|Data|Object-Head|150.00||||
128|04|19|2217|Urban Development|04|Slum Area Improvement|191|Assistance to Local Bodies, Corporations, Urban Development Authorities, Town Improvement Boards etc|2|Improvement of Slums|02|Improvement of Slums|||2217-04-191-2-02|HOA Total :|V|Total|Detailed-Head|3000.00|0.00|0.00|0.00
128|04|19|2217|Urban Development|04|Slum Area Improvement|||||||||2217|2217 - Total :|V|Total|Major-Head|6452.90|3555.68|3555.68|3652.96
