Source_Page_Number|Volume_Number|Demand_Number|Major_Head_Code|Major_Head_Name|Sub_Major_Head_Code|Sub_Major_Head_Name|Minor_Head_Code|Minor_Head_Name|Sub_Head_Code|Sub_Head_Name|Detailed_Head_Code|Detailed_Head_Name|Object_Head_Code|Object_Head_Description|Full_Account_Code|Description|Vote_Charge_Marker|Row_Type|Row_Level|Financial_Col_1|Financial_Col_2|Financial_Col_3|Financial_Col_4|Avg_Accuracy_%
1|04|07|2059|Public Works|80||196||1||01||||2059-80-196-1-01|Grants to Panchayath Raj Engineering Department||Header|Detailed-Head|||||100.0
1|04|07|2059|Public Works|80||196||1||01||300|Lumpsum - ZP|2059-80-196-1-01|Lumpsum - ZP||Data|Object-Head|1000.00|1550.00|1550.00|1550.00|100.0
1|04|07|2059|Public Works|80||196||1||01||401|Bengaluru (Urban)|2059-80-196-1-01|Bengaluru (Urban)||Data|Object-Head|736.49|787.76|787.76|802.45|100.0
1|04|07|2059|Public Works|80||196||1||01||402|Bengaluru (Rural)|2059-80-196-1-01|Bengaluru (Rural)||Data|Object-Head|552.46|514.47|514.47|496.26|100.0
1|04|07|2059|Public Works|80||196||1||01||403|Chitradurga|2059-80-196-1-01|Chitradurga||Data|Object-Head|540.25|639.42|639.42|684.25|100.0
1|04|07|2059|Public Works|80||196||1||01||404|Kolar|2059-80-196-1-01|Kolar||Data|Object-Head|505.60|469.64|469.64|522.88|100.0
1|04|07|2059|Public Works|80||196||1||01||405|Shivamogga|2059-80-196-1-01|Shivamogga||Data|Object-Head|822.16|819.16|819.16|920.72|100.0
1|04|07|2059|Public Works|80||196||1||01||406|Tumakuru|2059-80-196-1-01|Tumakuru||Data|Object-Head|1089.84|1026.33|1026.33|928.01|100.0
1|04|07|2059|Public Works|80||196||1||01||407|Mysuru|2059-80-196-1-01|Mysuru||Data|Object-Head|915.43|979.28|979.28|982.49|100.0
1|04|07|2059|Public Works|80||196||1||01||408|Chikkamagaluru|2059-80-196-1-01|Chikkamagaluru||Data|Object-Head|518.46|560.68|560.68|547.31|100.0
1|04|07|2059|Public Works|80||196||1||01||409|Dakshina Kannada|2059-80-196-1-01|Dakshina Kannada||Data|Object-Head|595.23|599.80|599.80|624.74|100.0
1|04|07|2059|Public Works|80||196||1||01||410|Hassan|2059-80-196-1-01|Hassan||Data|Object-Head|879.73|897.14|897.14|847.81|100.0
1|04|07|2059|Public Works|80||196||1||01||411|Kodagu|2059-80-196-1-01|Kodagu||Data|Object-Head|359.25|405.36|405.36|446.61|100.0
1|04|07|2059|Public Works|80||196||1||01||412|Mandya|2059-80-196-1-01|Mandya||Data|Object-Head|755.31|738.76|738.76|774.30|100.0
1|04|07|2059|Public Works|80||196||1||01||413|Belagavi|2059-80-196-1-01|Belagavi||Data|Object-Head|1355.53|1339.62|1339.62|1371.11|100.0
1|04|07|2059|Public Works|80||196||1||01||414|Vijayapura|2059-80-196-1-01|Vijayapura||Data|Object-Head|684.25|761.93|761.93|718.26|100.0
1|04|07|2059|Public Works|80||196||1||01||415|Dharwad|2059-80-196-1-01|Dharwad||Data|Object-Head|480.88|532.39|532.39|586.62|100.0
1|04|07|2059|Public Works|80||196||1||01||416|Uttara Kannada|2059-80-196-1-01|Uttara Kannada||Data|Object-Head|1059.73|1049.05|1049.05|1038.95|100.0
