16|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|01|Welfare of Scheduled Castes|796|Tribal Area Sub-Plan|0||01|CSS-Central Share-Compensation to SC/ST Victims|||2225-01-796-0-01|CSS-Central Share-Compensation to SC/ST Victims|V|Header|Detailed-Head||||
16|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|01|Welfare of Scheduled Castes|796|Tribal Area Sub-Plan|0||01|CSS-Central Share-Compensation to SC/ST Victims|100|Financial Assistance/Relief|2225-01-796-0-01|Financial Assistance/Relief|V|Data|Object-Head|2500.00|7000.00|7000.00|5000.00
16|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|01|Welfare of Scheduled Castes|796|Tribal Area Sub-Plan|0||01|CSS-Central Share-Compensation to SC/ST Victims|||||HOA Total :|V|Total|Detailed-Head|2500.00|7000.00|7000.00|5000.00
16|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|01|Welfare of Scheduled Castes|796|Tribal Area Sub-Plan|0||02|Various Development Programme for Schedule Caste|||2225-01-796-0-02|Various Development Programme for Schedule Caste|V|Header|Detailed-Head||||
16|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|01|Welfare of Scheduled Castes|796|Tribal Area Sub-Plan|0||02|Various Development Programme for Schedule Caste|059|Other Expenses|2225-01-796-0-02|Other Expenses|V|Data|Object-Head|72813.47|70750.00|75750.00|75375.00
16|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|01|Welfare of Scheduled Castes|796|Tribal Area Sub-Plan|0||02|Various Development Programme for Schedule Caste|||||HOA Total :|V|Total|Detailed-Head|72813.47|70750.00|75750.00|75375.00
16|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|01|Welfare of Scheduled Castes|796|Tribal Area Sub-Plan|0||03|CSS-State Share-Compensation to SC/ST Victims|||2225-01-796-0-03|CSS-State Share-Compensation to SC/ST Victims|V|Header|Detailed-Head||||
16|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|01|Welfare of Scheduled Castes|796|Tribal Area Sub-Plan|0||03|CSS-State Share-Compensation to SC/ST Victims|100|Financial Assistance/Relief|2225-01-796-0-03|Financial Assistance/Relief|V|Data|Object-Head|2500.00|6000.00|6000.00|6000.00
16|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|01|Welfare of Scheduled Castes|796|Tribal Area Sub-Plan|0||03|CSS-State Share-Compensation to SC/ST Victims|||||HOA Total :|V|Total|Detailed-Head|2500.00|6000.00|6000.00|6000.00
16|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|01|Welfare of Scheduled Castes|911|Deduct Recoveries|0||01|Deduct Recovery of Over Payments of Current Year|||2225-01-911-0-01|Deduct Recovery of Over Payments of Current Year|V|Header|Detailed-Head||||
16|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|01|Welfare of Scheduled Castes|911|Deduct Recoveries|0||01|Deduct Recovery of Over Payments of Current Year|364|Deduct - Recoveries|2225-01-911-0-01|Deduct - Recoveries|V|Data|Object-Head|-11.58||||
16|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|01|Welfare of Scheduled Castes|911|Deduct Recoveries|0||01|Deduct Recovery of Over Payments of Current Year|||||HOA Total :|V|Total|Detailed-Head|-11.58|0.00|0.00|0.00
16|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|01|Welfare of Scheduled Castes|911|Deduct Recoveries|0||02|Deduct Recovery of Overpayments|||2225-01-911-0-02|Deduct Recovery of Overpayments|V|Header|Detailed-Head||||
16|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|01|Welfare of Scheduled Castes|911|Deduct Recoveries|0||02|Deduct Recovery of Overpayments|364|Deduct - Recoveries|2225-01-911-0-02|Deduct - Recoveries|V|Data|Object-Head|-28197.62||||
16|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|01|Welfare of Scheduled Castes|911|Deduct Recoveries|0||02|Deduct Recovery of Overpayments|||||HOA Total :|V|Total|Detailed-Head|-28197.62|0.00|0.00|0.00
