Source_Page_Number|Volume_Number|Demand_Number|Major_Head_Code|Major_Head_Name|Sub_Major_Head_Code|Sub_Major_Head_Name|Minor_Head_Code|Minor_Head_Name|Sub_Head_Code|Sub_Head_Name|Detailed_Head_Code|Detailed_Head_Name|Object_Head_Code|Object_Head_Description|Full_Account_Code|Description|Vote_Charge_Marker|Row_Type|Row_Level|Financial_Col_1|Financial_Col_2|Financial_Col_3|Financial_Col_4
63|05|10|4225|Capital Outlay on Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|190|Investments in Public Sector and Other Undertakings|0||03|Construction of Hostel and Residential School Buildings for Minorities|||4225-04-190-0-03|Construction of Hostel and Residential School Buildings for Minorities|V|Header|Detailed-Head||||
63|05|10|4225|Capital Outlay on Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|190|Investments in Public Sector and Other Undertakings|0||03|Construction of Hostel and Residential School Buildings for Minorities|133|Regional Imbalance Redressal Program|4225-04-190-0-03|Regional Imbalance Redressal Program|V|Data|Object-Head|7000.00|8750.00|8750.00|
63|05|10|4225|Capital Outlay on Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|190|Investments in Public Sector and Other Undertakings|0||03|Construction of Hostel and Residential School Buildings for Minorities|386|Purchase/Construction of Buildings|4225-04-190-0-03|Purchase/Construction of Buildings|V|Data|Object-Head|52989.53|66250.00|66250.00|75000.00
63|05|10|4225|Capital Outlay on Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|190|Investments in Public Sector and Other Undertakings|0||03|Construction of Hostel and Residential School Buildings for Minorities|||||HOA Total :|V|Total|Detailed-Head|59989.53|75000.00|75000.00|75000.00
63|05|10|4225|Capital Outlay on Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|190|Investments in Public Sector and Other Undertakings|0||04|Construction of Additional Rooms to Moulana Azad Schools|||4225-04-190-0-04|Construction of Additional Rooms to Moulana Azad Schools|V|Header|Detailed-Head||||
63|05|10|4225|Capital Outlay on Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|190|Investments in Public Sector and Other Undertakings|0||04|Construction of Additional Rooms to Moulana Azad Schools|132|Other Capital Expenses|4225-04-190-0-04|Other Capital Expenses|V|Data|Object-Head||||2000.00
63|05|10|4225|Capital Outlay on Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|190|Investments in Public Sector and Other Undertakings|0||04|Construction of Additional Rooms to Moulana Azad Schools|386|Purchase/Construction of Buildings|4225-04-190-0-04|Purchase/Construction of Buildings|V|Data|Object-Head|9997.66|10000.00|10000.00|13000.00
63|05|10|4225|Capital Outlay on Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|190|Investments in Public Sector and Other Undertakings|0||04|Construction of Additional Rooms to Moulana Azad Schools|||||HOA Total :|V|Total|Detailed-Head|9997.66|10000.00|10000.00|15000.00
63|05|10|4225|Capital Outlay on Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|277|Education|0||01|Education Quality Improvement Program|||4225-04-277-0-01|Education Quality Improvement Program|V|Header|Detailed-Head||||
63|05|10|4225|Capital Outlay on Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|277|Education|0||01|Education Quality Improvement Program|132|Other Capital Expenses|4225-04-277-0-01|Other Capital Expenses|V|Data|Object-Head||||17500.00
63|05|10|4225|Capital Outlay on Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|277|Education|0||01|Education Quality Improvement Program|133|Regional Imbalance Redressal Program|4225-04-277-0-01|Regional Imbalance Redressal Program|V|Data|Object-Head||||10000.00
63|05|10|4225|Capital Outlay on Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|277|Education|0||01|Education Quality Improvement Program|||||HOA Total :|V|Total|Detailed-Head|0.00|0.00|0.00|27500.00
63|05|10|4225|Capital Outlay on Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities||||||||||4225 - Total :|V|Total|Major-Head|123986.99|229297.00|229297.00|215296.00
