174|05|23|2501|Special Programmes for Rural Development|06||||||||||2501|Special Programmes for Rural Development|V|Header|Major-Head||||
174|05|23|2501|Special Programmes for Rural Development|06||198||6||01|CSS-Central Share-National Rural Livelihood Mission (NRLM)|||2501-06-198-6-01|CSS-Central Share-National Rural Livelihood Mission (NRLM)|V|Header|Detailed-Head||||
174|05|23|2501|Special Programmes for Rural Development|06||198||6||01|CSS-Central Share-National Rural Livelihood Mission (NRLM)|300|Lumpsum - ZP|2501-06-198-6-01|Lumpsum - ZP|V|Data|Object-Head|23819.51|8900.00|1472.42|19734.00
174|05|23|2501|Special Programmes for Rural Development|06||198||6||01|CSS-Central Share-National Rural Livelihood Mission (NRLM)|332|Lumpsum-SCSP|2501-06-198-6-01|Lumpsum-SCSP|V|Data|Object-Head||||4459.00
174|05|23|2501|Special Programmes for Rural Development|06||198||6||01|CSS-Central Share-National Rural Livelihood Mission (NRLM)|333|Lumpsum-TSP|2501-06-198-6-01|Lumpsum-TSP|V|Data|Object-Head||||1807.00
174|05|23|2501|Special Programmes for Rural Development|06||198||6||01|CSS-Central Share-National Rural Livelihood Mission (NRLM)|||2501-06-198-6-01|HOA Total :|V|Total|Detailed-Head|23819.51|8900.00|1472.42|26000.00
174|05|23|2501|Special Programmes for Rural Development|06||198||6||02|CSS-State Share-National Rural Livelihood Mission (NRLM)|||2501-06-198-6-02|CSS-State Share-National Rural Livelihood Mission (NRLM)|V|Header|Detailed-Head||||
174|05|23|2501|Special Programmes for Rural Development|06||198||6||02|CSS-State Share-National Rural Livelihood Mission (NRLM)|300|Lumpsum - ZP|2501-06-198-6-02|Lumpsum - ZP|V|Data|Object-Head|15879.67|6100.00|6580.46|14041.50
174|05|23|2501|Special Programmes for Rural Development|06||198||6||02|CSS-State Share-National Rural Livelihood Mission (NRLM)|332|Lumpsum-SCSP|2501-06-198-6-02|Lumpsum-SCSP|V|Data|Object-Head||||3172.75
174|05|23|2501|Special Programmes for Rural Development|06||198||6||02|CSS-State Share-National Rural Livelihood Mission (NRLM)|333|Lumpsum-TSP|2501-06-198-6-02|Lumpsum-TSP|V|Data|Object-Head||||1285.75
174|05|23|2501|Special Programmes for Rural Development|06||198||6||02|CSS-State Share-National Rural Livelihood Mission (NRLM)|||2501-06-198-6-02|HOA Total :|V|Total|Detailed-Head|15879.67|6100.00|6580.46|18500.00
174|05|23|2501|Special Programmes for Rural Development|06||198||6||03|CSS-Central Share-Start Up Village Entrepreneurship Program -SVEP(NRLM)|||2501-06-198-6-03|CSS-Central Share-Start Up Village Entrepreneurship Program -SVEP(NRLM)|V|Header|Detailed-Head||||
174|05|23|2501|Special Programmes for Rural Development|06||198||6||03|CSS-Central Share-Start Up Village Entrepreneurship Program -SVEP(NRLM)|300|Lumpsum - ZP|2501-06-198-6-03|Lumpsum - ZP|V|Data|Object-Head||100.00|324.60|379.50
174|05|23|2501|Special Programmes for Rural Development|06||198||6||03|CSS-Central Share-Start Up Village Entrepreneurship Program -SVEP(NRLM)|332|Lumpsum-SCSP|2501-06-198-6-03|Lumpsum-SCSP|V|Data|Object-Head||||85.75
174|05|23|2501|Special Programmes for Rural Development|06||198||6||03|CSS-Central Share-Start Up Village Entrepreneurship Program -SVEP(NRLM)|333|Lumpsum-TSP|2501-06-198-6-03|Lumpsum-TSP|V|Data|Object-Head||||34.75
174|05|23|2501|Special Programmes for Rural Development|06||198||6||03|CSS-Central Share-Start Up Village Entrepreneurship Program -SVEP(NRLM)|||2501-06-198-6-03|HOA Total :|V|Total|Detailed-Head|0.00|100.00|324.60|500.00
174|05|23|2501|Special Programmes for Rural Development|06||198||6||04|CSS-State Share-Start Up Village Entrepreneurship Program -SVEP(NRLM)|||2501-06-198-6-04|CSS-State Share-Start Up Village Entrepreneurship Program -SVEP(NRLM)|V|Header|Detailed-Head||||
174|05|23|2501|Special Programmes for Rural Development|06||198||6||04|CSS-State Share-Start Up Village Entrepreneurship Program -SVEP(NRLM)|300|Lumpsum - ZP|2501-06-198-6-04|Lumpsum - ZP|V|Data|Object-Head||100.00|216.40|227.70
174|05|23|2501|Special Programmes for Rural Development|06||198||6||04|CSS-State Share-Start Up Village Entrepreneurship Program -SVEP(NRLM)|332|Lumpsum-SCSP|2501-06-198-6-04|Lumpsum-SCSP|V|Data|Object-Head||||51.45
174|05|23|2501|Special Programmes for Rural Development|06||198||6||04|CSS-State Share-Start Up Village Entrepreneurship Program -SVEP(NRLM)|333|Lumpsum-TSP|2501-06-198-6-04|Lumpsum-TSP|V|Data|Object-Head||||20.85
174|05|23|2501|Special Programmes for Rural Development|06||198||6||04|CSS-State Share-Start Up Village Entrepreneurship Program -SVEP(NRLM)|||2501-06-198-6-04|HOA Total :|V|Total|Detailed-Head|0.00|100.00|216.40|300.00
