179|05|23|4250|Capital Outlay on Other Social Services|00|||||||||4250|Capital Outlay on Other Social Services|V|Header|Major-Head||||
179|05|23|4250|Capital Outlay on Other Social Services|00||203||0||07|ITI- Constrcution and Other Infrastructure Facilities|||4250-00-203-0-07|ITI- Constrcution and Other Infrastructure Facilities|V|Header|Detailed-Head||||
179|05|23|4250|Capital Outlay on Other Social Services|00||203||0||07|ITI- Constrcution and Other Infrastructure Facilities|053|Purchase of Furniture and Fixture for Office|4250-00-203-0-07|Purchase of Furniture and Fixture for Office|V|Data|Object-Head||||100.00
179|05|23|4250|Capital Outlay on Other Social Services|00||203||0||07|ITI- Constrcution and Other Infrastructure Facilities|133|Regional Imbalance Redressal Program|4250-00-203-0-07|Regional Imbalance Redressal Program|V|Data|Object-Head||||1000.00
179|05|23|4250|Capital Outlay on Other Social Services|00||203||0||07|ITI- Constrcution and Other Infrastructure Facilities|180|Machinery and Equipments|4250-00-203-0-07|Machinery and Equipments|V|Data|Object-Head||5000.00|5000.00|2500.00
179|05|23|4250|Capital Outlay on Other Social Services|00||203||0||07|ITI- Constrcution and Other Infrastructure Facilities|386|Purchase/Construction of Buildings|4250-00-203-0-07|Purchase/Construction of Buildings|V|Data|Object-Head|2699.81|2000.00|2000.00|1500.00
179|05|23|4250|Capital Outlay on Other Social Services|00||203||0||07|ITI- Constrcution and Other Infrastructure Facilities||||4250-00-203-0-07|HOA Total :|V|Total|Detailed-Head|2699.81|7000.00|7000.00|5100.00
179|05|23|4250|Capital Outlay on Other Social Services|00||203||0||08|Sir Mokshagundam Visveswaraiah Centre for Training the Master Trainers in Skill Development|||4250-00-203-0-08|Sir Mokshagundam Visveswaraiah Centre for Training the Master Trainers in Skill Development|V|Header|Detailed-Head||||
179|05|23|4250|Capital Outlay on Other Social Services|00||203||0||08|Sir Mokshagundam Visveswaraiah Centre for Training the Master Trainers in Skill Development|386|Purchase/Construction of Buildings|4250-00-203-0-08|Purchase/Construction of Buildings|V|Data|Object-Head|750.00|300.00|300.00|300.00
179|05|23|4250|Capital Outlay on Other Social Services|00||203||0||08|Sir Mokshagundam Visveswaraiah Centre for Training the Master Trainers in Skill Development||||4250-00-203-0-08|HOA Total :|V|Total|Detailed-Head|750.00|300.00|300.00|300.00
179|05|23|4250|Capital Outlay on Other Social Services|00||203||0||10|Repayment of Principal- Karnataka Skill Development Corporation|||4250-00-203-0-10|Repayment of Principal- Karnataka Skill Development Corporation|V|Header|Detailed-Head||||
179|05|23|4250|Capital Outlay on Other Social Services|00||203||0||10|Repayment of Principal- Karnataka Skill Development Corporation|240|Repayment of Borrowings|4250-00-203-0-10|Repayment of Borrowings|C|Data|Object-Head|9388.00|5714.00|5714.00|8907.00
179|05|23|4250|Capital Outlay on Other Social Services|00||203||0||10|Repayment of Principal- Karnataka Skill Development Corporation||||4250-00-203-0-10|HOA Total :|C|Total|Detailed-Head|9388.00|5714.00|5714.00|8907.00
179|05|23|4250|Capital Outlay on Other Social Services|00||203||0||11|Purchase of Vehicles|||4250-00-203-0-11|Purchase of Vehicles|V|Header|Detailed-Head||||
179|05|23|4250|Capital Outlay on Other Social Services|00||203||0||11|Purchase of Vehicles|199|Transportation Assets|4250-00-203-0-11|Transportation Assets|V|Data|Object-Head|18.82||| 
179|05|23|4250|Capital Outlay on Other Social Services|00||203||0||11|Purchase of Vehicles||||4250-00-203-0-11|HOA Total :|V|Total|Detailed-Head|18.82|0.00|0.00|0.00
