49|07|21|4702|Capital Outlay on Minor Irrigation|00||||||||||4702|Capital Outlay on Minor Irrigation||Header|Major-Head||||
49|07|21|4702|Capital Outlay on Minor Irrigation|00||101||1||17|CSS-Central Share-HKKP-Repair Restoration and Renovation of Water Bodies|139|Major Works|4702-00-101-1-17|Major Works||Data|Object-Head||33500.00|33500.00|
49|07|21|4702|Capital Outlay on Minor Irrigation|00||101||1||17|CSS-Central Share-HKKP-Repair Restoration and Renovation of Water Bodies|||4702-00-101-1-17|HOA Total :||Total|Detailed-Head|0.00|33500.00|33500.00|33500.00
49|07|21|4702|Capital Outlay on Minor Irrigation|00||101||1||18|CSS-State Share-HKKP-Repair Restoration and Renovation of Water Bodies|||4702-00-101-1-18|CSS-State Share-HKKP-Repair Restoration and Renovation of Water Bodies||Header|Detailed-Head||||
49|07|21|4702|Capital Outlay on Minor Irrigation|00||101||1||18|CSS-State Share-HKKP-Repair Restoration and Renovation of Water Bodies|132|Other Capital Expenses|4702-00-101-1-18|Other Capital Expenses||Data|Object-Head||||23000.00
49|07|21|4702|Capital Outlay on Minor Irrigation|00||101||1||18|CSS-State Share-HKKP-Repair Restoration and Renovation of Water Bodies|139|Major Works|4702-00-101-1-18|Major Works||Data|Object-Head||23000.00|8000.00|
49|07|21|4702|Capital Outlay on Minor Irrigation|00||101||1||18|CSS-State Share-HKKP-Repair Restoration and Renovation of Water Bodies|||4702-00-101-1-18|HOA Total :||Total|Detailed-Head|0.00|23000.00|8000.00|23000.00
49|07|21|4702|Capital Outlay on Minor Irrigation|00||101||1||19|CSS-Central Share-HKKP-Surface Minor Irrigation (Barrages, Pick-ups and other works)|||4702-00-101-1-19|CSS-Central Share-HKKP-Surface Minor Irrigation (Barrages, Pick-ups and other works)||Header|Detailed-Head||||
49|07|21|4702|Capital Outlay on Minor Irrigation|00||101||1||19|CSS-Central Share-HKKP-Surface Minor Irrigation (Barrages, Pick-ups and other works)|132|Other Capital Expenses|4702-00-101-1-19|Other Capital Expenses||Data|Object-Head||||34500.00
49|07|21|4702|Capital Outlay on Minor Irrigation|00||101||1||19|CSS-Central Share-HKKP-Surface Minor Irrigation (Barrages, Pick-ups and other works)|139|Major Works|4702-00-101-1-19|Major Works||Data|Object-Head|3750.00|34500.00|34500.00|
49|07|21|4702|Capital Outlay on Minor Irrigation|00||101||1||19|CSS-Central Share-HKKP-Surface Minor Irrigation (Barrages, Pick-ups and other works)|||4702-00-101-1-19|HOA Total :||Total|Detailed-Head|3750.00|34500.00|34500.00|34500.00
49|07|21|4702|Capital Outlay on Minor Irrigation|00||101||1||20|CSS-State Share-HKKP-Surface Minor Irrigation (Barrages, Pick-ups and other works)|||4702-00-101-1-20|CSS-State Share-HKKP-Surface Minor Irrigation (Barrages, Pick-ups and other works)||Header|Detailed-Head||||
49|07|21|4702|Capital Outlay on Minor Irrigation|00||101||1||20|CSS-State Share-HKKP-Surface Minor Irrigation (Barrages, Pick-ups and other works)|132|Other Capital Expenses|4702-00-101-1-20|Other Capital Expenses||Data|Object-Head||||23000.00
49|07|21|4702|Capital Outlay on Minor Irrigation|00||101||1||20|CSS-State Share-HKKP-Surface Minor Irrigation (Barrages, Pick-ups and other works)|139|Major Works|4702-00-101-1-20|Major Works||Data|Object-Head|2500.00|23000.00|23000.00|
49|07|21|4702|Capital Outlay on Minor Irrigation|00||101||1||20|CSS-State Share-HKKP-Surface Minor Irrigation (Barrages, Pick-ups and other works)|||4702-00-101-1-20|HOA Total :||Total|Detailed-Head|2500.00|23000.00|23000.00|23000.00
49|07|21|4702|Capital Outlay on Minor Irrigation|00||101||1||90|Deduct-Receipts and Recoveries on Capital Account|||4702-00-101-1-90|Deduct-Receipts and Recoveries on Capital Account||Header|Detailed-Head||||
49|07|21|4702|Capital Outlay on Minor Irrigation|00||101||1||90|Deduct-Receipts and Recoveries on Capital Account|364|Deduct - Recoveries|4702-00-101-1-90|Deduct - Recoveries||Data|Object-Head|-0.96|||
49|07|21|4702|Capital Outlay on Minor Irrigation|00||101||1||90|Deduct-Receipts and Recoveries on Capital Account|||4702-00-101-1-90|HOA Total :||Total|Detailed-Head|-0.96|0.00|0.00|0.00
